group_key,group_name,company_name,websites,wko_url,states_seen,addresses,process_fit_class,process_fit_reason,size_class,size_confidence,stage3_scope,management,owners,ultimate_owner,ownership_structure,ownership_type,primary_dm,primary_dm_roles,owner_confidence,owner_source_urls,owner_review_note
Ulreich VerwaltungsGmbH,Ulreich VerwaltungsGmbH,Ulreich VerwaltungsGmbH,,https://firmen.wko.at/ulreich-verwaltungsgmbh/wien/?firmaid=e0e7f760-3864-4381-884e-983d57c858c1&standortid=1&standortname=wien%20%28bundesland%29&suchbegriff=immobilienverwalter,wien,Obere Amtshausgasse 20 1050 Wien,PRIMARY_CORE,existing agent-first core target,D_CORE_RECALL_11_30,high,MAIN,,,unresolved,Ownership/control layer was not safely established from public evidence; operational management is retained where verified.,UNRESOLVED,,,LOW,,No ownership was inferred from surname. Unknown share percentages remain null. For international/network firms the Austrian operational leadership is preferred over a global parent.
ÖBB-Immobilienmanagement Gesellschaft mbH,ÖBB-Immobilienmanagement Gesellschaft mbH,ÖBB-Immobilienmanagement Gesellschaft mbH,,https://firmen.wko.at/%c3%96bb-immobilienmanagement-gesellschaft-mbh/salzburg/?firmaid=dbe320f6-197f-468e-a099-01772f442235&standortid=4&standortname=salzburg%20%28bundesland%29&suchbegriff=immobilienverwalter,kärnten | niederösterreich | oberösterreich | salzburg | steiermark | tirol | wien,Südtiroler Platz 1 5020 Salzburg | Waagner-Biro-Straße 48 8020 Graz | Ferdinand Porsche-Ring 20 2700 Wiener Neustadt | Bahnhofplatz 1a 3100 St.Pölten | 10. Oktober-Straße 20 9500 Villach | Claudiastraße 2 6020 Innsbruck | Bahnhofstraße 3 4020 Linz | Lassallestraße 5 1020 Wien,ADD_TO_SALES_POOL,"Austria-scale Hausverwaltung with commercial/technical management, tenant service and rent/operating-cost billing",E_ADJACENT_30_PLUS,high,MAIN,,,unresolved,Ownership/control layer was not safely established from public evidence; operational management is retained where verified.,UNRESOLVED,,,LOW,,No ownership was inferred from surname. Unknown share percentages remain null. For international/network firms the Austrian operational leadership is preferred over a global parent.
Alpen Real Immobilien GmbH,Alpen Real Immobilien GmbH,Alpen Real Immobilien GmbH,,https://firmen.wko.at/alpen-real-immobilien-gmbh/salzburg/?firmaid=9850b2d6-ba5c-4095-b8df-2b52f86737cf&standortid=4&standortname=salzburg%20%28bundesland%29&suchbegriff=immobilienverwalter,oberösterreich | salzburg,Nonntaler Hauptstraße 60 5020 Salzburg | Stadtplatz 9 4400 Steyr,PRIMARY_CORE,existing agent-first core target,D_CORE_RECALL_11_30,high,MAIN,,,unresolved,Ownership/control layer was not safely established from public evidence; operational management is retained where verified.,UNRESOLVED,,,LOW,,No ownership was inferred from surname. Unknown share percentages remain null. For international/network firms the Austrian operational leadership is preferred over a global parent.
Dr. Peter Dirnbacher Immobilientreuhand GmbH & Co KG,Dr. Peter Dirnbacher Immobilientreuhand GmbH & Co KG,Dr. Peter Dirnbacher Immobilientreuhand GmbH & Co KG,,https://firmen.wko.at/dr-peter-dirnbacher-immobilientreuhand-gmbh-und-co-kg/wien/?firmaid=3fb133e5-3502-4017-9c5e-2fad723cd6a1&standortid=1&standortname=wien%20%28bundesland%29&suchbegriff=immobilienverwalter,wien,Fuhrmannsgasse 17 1080 Wien,PRIMARY_CORE,existing agent-first core target,D_CORE_RECALL_11_30,high,MAIN,,,unresolved,Ownership/control layer was not safely established from public evidence; operational management is retained where verified.,UNRESOLVED,,,LOW,,No ownership was inferred from surname. Unknown share percentages remain null. For international/network firms the Austrian operational leadership is preferred over a global parent.
Immobilienkanzlei Mag. Wolf-Dietrich Schneeweiss e.U.,Immobilienkanzlei Mag. Wolf-Dietrich Schneeweiss e.U.,Immobilienkanzlei Mag. Wolf-Dietrich Schneeweiss e.U.,,https://firmen.wko.at/immobilienkanzlei-mag-wolf-dietrich-schneeweiss-eu/wien/?firmaid=bf8a27a4-170f-47d6-a58d-fd3966bdfeea&standortid=1&standortname=wien%20%28bundesland%29&suchbegriff=immobilienverwalter,wien,Rathausplatz 4 1010 Wien,PRIMARY_CORE,existing agent-first core target,A_CORE_30_PLUS_DIRECT,high,MAIN,,,unresolved,Ownership/control layer was not safely established from public evidence; operational management is retained where verified.,UNRESOLVED,,,LOW,,No ownership was inferred from surname. Unknown share percentages remain null. For international/network firms the Austrian operational leadership is preferred over a global parent.
McArthurGlen Management Gesellschaft m.b.H.,McArthurGlen Management Gesellschaft m.b.H.,McArthurGlen Management Gesellschaft m.b.H.,,https://firmen.wko.at/mcarthurglen-management-gesellschaft-mbh/salzburg/?firmaid=c68fab59-adde-430d-b054-1eb93956904f&standortid=4&standortname=salzburg%20%28bundesland%29&suchbegriff=immobilienverwalter,burgenland | salzburg,Kasernenstraße 1 5071 Wals-Siezenheim | Designer Outlet Straße 1 7111 Parndorf,ADD_TO_SALES_POOL,"shopping-centre management with tenant, service-charge, facility and operational workflows",E_ADJACENT_30_PLUS,high,MAIN,,,unresolved,Ownership/control layer was not safely established from public evidence; operational management is retained where verified.,UNRESOLVED,,,LOW,,No ownership was inferred from surname. Unknown share percentages remain null. For international/network firms the Austrian operational leadership is preferred over a global parent.
SERIA Immobilien & Treuhand GmbH,SERIA Immobilien & Treuhand GmbH,SERIA Immobilien & Treuhand GmbH,http://www.seria.at/ | http://www.seria.at/,https://firmen.wko.at/seria-immobilien-und-treuhand-gmbh-hausverwaltung-vermittlung-verkauf/steiermark/?firmaid=0e2d9d35-5d13-4736-b993-a3a09946b0a6&standortid=5&standortname=steiermark%20%28bundesland%29&suchbegriff=immobilienverwalter,steiermark,Hartenaugasse 8 8010 Graz,PRIMARY_CORE,existing agent-first core target,D_CORE_RECALL_11_30,high,MAIN,Vermietung Ihrer Immobilie [Partner]; Eveline Böhler Assistentin [Geschäftsführung]; GF Front Office [Geschäftsführung]; Martina Krajinovic Abteilungsleitung Verwaltung [Management]; Graz Tel [Geschäftsführung]; Frau Ulrike FABIAN UID [Geschäftsführung]; Handelsgericht Graz Angaben [Geschäftsführung]; Online-Streitbeilegung Verbraucher [Geschäftsführung],Innen Objekte Hausordnung Aktuelles (); Leistungen Tipps (); Perfekter Service (); Weil Information (); Wohnreich Menü (); Ihren Kund (); AUF LANGE TRADITION SCHLIESSEN (),Innen Objekte Hausordnung Aktuelles; Leistungen Tipps; Perfekter Service; Weil Information,"Public sources identify owner/shareholder names, but complete share percentages were not safely established.",PARTNER_OWNED,Innen Objekte Hausordnung Aktuelles; Leistungen Tipps,Owner/Gesellschafter; Owner/Gesellschafter,MEDIUM_HIGH,https://seria.at/ | https://seria.at/team/ | https://seria.at/team/ | https://seria.at/team/ | https://seria.at/impressum/ | https://seria.at/impressum/ | https://seria.at/impressum/ | https://seria.at/impressum/ | https://seria.at/ | https://seria.at/ | https://seria.at/ | https://seria.at/ | https://seria.at/ueber-uns/ | https://seria.at/ueber-uns/ | https://seria.at/ueber-uns/,No ownership was inferred from surname. Unknown share percentages remain null. For international/network firms the Austrian operational leadership is preferred over a global parent.
Woge Realitäten Gesellschaft m.b.H.,Woge Realitäten Gesellschaft m.b.H.,Woge Realitäten Gesellschaft m.b.H.,https://www.hausverwaltungwoge.at/ | https://www.hausverwaltungwoge.at/,https://firmen.wko.at/woge-realit%c3%a4ten-gesellschaft-mbh/wien/?firmaid=b1f62a6e-5c47-4782-851a-112c0dab2456&standortid=1&standortname=wien%20%28bundesland%29&suchbegriff=immobilienverwalter,wien,Köstlergasse 7/2/14 1060 Wien,PRIMARY_CORE,existing agent-first core target,D_CORE_RECALL_11_30,high,MAIN,,Beratung Ob Immobilienbewertung (); Notfallkontakte Während (); Ihres Anliegens (); WIR ERSUCHEN SIE UM (),Beratung Ob Immobilienbewertung; Notfallkontakte Während; Ihres Anliegens; WIR ERSUCHEN SIE UM,"Public sources identify owner/shareholder names, but complete share percentages were not safely established.",PARTNER_OWNED,Beratung Ob Immobilienbewertung; Notfallkontakte Während,Owner/Gesellschafter; Owner/Gesellschafter,MEDIUM_HIGH,https://www.woge.immo/ | https://www.woge.immo/ | https://www.woge.immo/ | https://www.woge.immo/,No ownership was inferred from surname. Unknown share percentages remain null. For international/network firms the Austrian operational leadership is preferred over a global parent.
CBRE GmbH,CBRE GmbH,CBRE GmbH,http://www.cbre.at/ | http://www.cbre.at/,https://firmen.wko.at/cbre-gmbh-cbre-gmbh/wien/?firmaid=f9385336-8856-4a6b-b913-0574cec1db0a&standortid=1&standortname=wien%20%28bundesland%29&suchbegriff=immobilienverwalter,wien,Am Belvedere 10/Top 12 1100 Wien,ADD_TO_SALES_POOL,large property/facility management platform with recurring real-estate back-office processes,E_ADJACENT_30_PLUS,high,MAIN,The Weekly Take Podcast [Partner]; Service Corporate Responsibility Wir [Partner]; Service ESG [Management]; Nachhaltigkeitskonzepte Beschleunigen Si [Management],,unresolved,Ownership/control layer was not safely established from public evidence; operational management is retained where verified.,UNRESOLVED,Nachhaltigkeitskonzepte Beschleunigen Si; Service Corporate Responsibility Wir; Service ESG,Management; Partner; Management,MEDIUM_HIGH,https://www.cbre.at/ | https://www.cbre.at/ | https://www.cbre.at/ | https://www.cbre.at/,No ownership was inferred from surname. Unknown share percentages remain null. For international/network firms the Austrian operational leadership is preferred over a global parent.
Haus & Grund Immobilien Management GmbH,Haus & Grund Immobilien Management GmbH,Haus & Grund Immobilien Management GmbH,,https://firmen.wko.at/haus-und-grund-immobilien-management-gmbh/salzburg/?firmaid=d103a1fd-e6b7-4e9c-98bc-63bf61bb7e87&standortid=4&standortname=salzburg%20%28bundesland%29&suchbegriff=immobilienverwalter,oberösterreich | salzburg,Ignaz-Härtl-Straße 2-10 5020 Salzburg | Südtirolerstraße 5 4020 Linz,PRIMARY_CORE,existing agent-first core target,C_CORE_20_PLUS_RANGE,high,MAIN,,,unresolved,Ownership/control layer was not safely established from public evidence; operational management is retained where verified.,UNRESOLVED,,,LOW,,No ownership was inferred from surname. Unknown share percentages remain null. For international/network firms the Austrian operational leadership is preferred over a global parent.
SELINA/Kappacher group,KAPPACHER-SELINA Hausverwaltung GmbH,KAPPACHER-SELINA Hausverwaltung GmbH,https://www.kappacher-selina.at/ | https://www.kappacher-selina.at/,https://firmen.wko.at/kappacher-selina-hausverwaltung-gmbh-immobilientreuh%c3%a4nder/salzburg/?firmaid=5415d9e1-c8a8-4f86-ac2a-bf21d780840a&standortid=4&standortname=salzburg%20%28bundesland%29&suchbegriff=immobilienverwalter,salzburg,Bundesstraße 2 5600 St.Johann/Pongau,PRIMARY_CORE,existing agent-first core target,A_CORE_30_PLUS_DIRECT,high,MAIN,Immobilienmanagement Seit [Partner]; Raum Pongau [Partner]; Salzburger Land [Management]; Ihre Immobilie [Management]; Bundesland Salzb [Management]; Berthold Rindfleisch Bundesstraße [Geschäftsführer]; BLUE TOWER [Geschäftsführer],,unresolved,Ownership/control layer was not safely established from public evidence; operational management is retained where verified.,UNRESOLVED,BLUE TOWER; Berthold Rindfleisch Bundesstraße; Bundesland Salzb,Geschäftsführer; Geschäftsführer; Management,MEDIUM_HIGH,https://www.kappacher-selina.at/ | https://www.kappacher-selina.at/ | https://www.kappacher-selina.at/ | https://www.kappacher-selina.at/ | https://www.kappacher-selina.at/ | https://www.kappacher-selina.at/de/impressum.html | https://www.kappacher-selina.at/de/impressum.html,No ownership was inferred from surname. Unknown share percentages remain null. For international/network firms the Austrian operational leadership is preferred over a global parent.
Realverwaltung GmbH,Realverwaltung GmbH,Realverwaltung GmbH,http://stefan.rutter@rutter.at/ | http://stefan.rutter@rutter.at/,https://firmen.wko.at/realverwaltung-gmbh/k%c3%a4rnten/?firmaid=4f8bab4e-76b5-4c93-a9d7-3190d7d88a6f&standortid=6&standortname=k%c3%a4rnten%20%28bundesland%29&suchbegriff=immobilienverwalter,kärnten,Koschatstraße 129 9020 Klagenfurt am Wörthersee,ADD_TO_SALES_POOL,one of Austria’s larger commercial Hausverwaltungen; tenant and commercial/technical FM processes,E_ADJACENT_30_PLUS,high,MAIN,Transaktions- Volumen RUTTER IMMOBILIEN [Partner]; GRUPPE Als [Partner]; Rutter Immobilien Gruppe [Management]; IEN Rutter Immobilien Gruppe [Partner]; Projektentwicklung Tegetthoffstraße [Partner]; Rutter Center Mana [Management]; Stefan Rutter [Geschäftsführer]; Christian Harisch Eigentümer [Geschäftsführer]; Rutter Immobilien Gruppe Login [Geschäftsführer]; WIEN Rutter Immobilien Gruppe [Geschäftsführer],Retail Parks (); Shopping Center (); Transaktions- Volumen RUTTER IMMOBILIEN (); GRUPPE Als (); Rutter Immobilien Gruppe (); Stefan Rutter (); Christian Harisch Eigentümer (); Rutter Immobilien Gruppe Login (); WIEN Rutter Immobilien Gruppe (),Retail Parks; Shopping Center; Transaktions- Volumen RUTTER IMMOBILIEN; GRUPPE Als,"Public sources identify owner/shareholder names, but complete share percentages were not safely established.",PARTNER_OWNED,Retail Parks; Shopping Center,Owner/Gesellschafter; Owner/Gesellschafter,MEDIUM_HIGH,https://rutter.at/ | https://rutter.at/ | https://rutter.at/ | https://rutter.at/ | https://rutter.at/ | https://rutter.at/ | https://rutter.at/unternehmen/ | https://rutter.at/unternehmen/ | https://rutter.at/ | https://rutter.at/ | https://rutter.at/ | https://rutter.at/ | https://rutter.at/ | https://rutter.at/unternehmen/ | https://rutter.at/unternehmen/ | https://rutter.at/unternehmen/,No ownership was inferred from surname. Unknown share percentages remain null. For international/network firms the Austrian operational leadership is preferred over a global parent.
WARIWODA & RICHTER Immobilientreuhandgesellschaft m.b.H.,WARIWODA & RICHTER Immobilientreuhandgesellschaft m.b.H.,WARIWODA & RICHTER Immobilientreuhandgesellschaft m.b.H.,,https://firmen.wko.at/wariwoda-und-richter-immobilientreuhandgesellschaft-mbh/wien/?firmaid=559ebf25-eaf7-475b-9606-a01fda645de0&standortid=1&standortname=wien%20%28bundesland%29&suchbegriff=immobilienverwalter,wien,Spittelberggasse 3 1070 Wien,PRIMARY_CORE,existing agent-first core target,D_CORE_RECALL_11_30,high,MAIN,,,unresolved,Ownership/control layer was not safely established from public evidence; operational management is retained where verified.,UNRESOLVED,,,LOW,,No ownership was inferred from surname. Unknown share percentages remain null. For international/network firms the Austrian operational leadership is preferred over a global parent.
AREV Immobilien Gesellschaft m.b.H.,AREV Immobilien Gesellschaft m.b.H.,AREV Immobilien Gesellschaft m.b.H.,http://www.arev.at/ | http://www.arev.at/,https://firmen.wko.at/arev-immobilien-gesellschaft-mbh/ober%c3%b6sterreich/?firmaid=c161f677-5e7a-4720-945d-e4475d198301&standortid=3&standortname=ober%c3%b6sterreich%20%28bundesland%29&suchbegriff=immobilienverwalter,oberösterreich,Bahnhofplatz 2 4600 Wels | Europaplatz 4 4020 Linz | Hannesgrub Süd 6 4911 Tumeltsham,PRIMARY_CORE,existing agent-first core target,A_CORE_30_PLUS_DIRECT,high,MAIN,Phase Ihrer Immobilie [Management]; Jetzt Erstgespräch [Management]; Jahren Expertise [Partner]; Ob Vermittlung [Partner],Ihre Liegenschaft (); Ihre Bedürfnisse (),Ihre Liegenschaft; Ihre Bedürfnisse,"Public sources identify owner/shareholder names, but complete share percentages were not safely established.",PARTNER_OWNED,Ihre Liegenschaft; Ihre Bedürfnisse,Owner/Gesellschafter; Owner/Gesellschafter,MEDIUM_HIGH,https://www.arev.at/ | https://www.arev.at/ | https://www.arev.at/ | https://www.arev.at/ | https://www.arev.at/ | https://www.arev.at/,No ownership was inferred from surname. Unknown share percentages remain null. For international/network firms the Austrian operational leadership is preferred over a global parent.
Franz Kramas Gebäudeverwaltung G.m.b.H.,Franz Kramas Gebäudeverwaltung G.m.b.H.,Franz Kramas Gebäudeverwaltung G.m.b.H.,http://www.kramas.at/ | http://www.kramas.at/,https://firmen.wko.at/franz-kramas-geb%c3%a4udeverwaltung-gmbh/wien/?firmaid=cbd09d2d-cff7-4a30-8a18-11710631c757&standortid=1&standortname=wien%20%28bundesland%29&suchbegriff=immobilienverwalter,wien,Liechtensteinstraße 36 1090 Wien,PRIMARY_CORE,existing agent-first core target,C_CORE_20_PLUS_RANGE,high,MAIN,Wiener Wirtschaftskammer [Geschäftsführer]; Kramas-Geschäftsführer Mag [Geschäftsführer]; Karl Wiesflecker [Management]; Heinrich Wiesflecker [Geschäftsführer]; MBA IX [Management]; Weitere News [Partner]; Firma Kra [Partner]; Silberne Ehrenmedaille [Geschäftsführer]; Magistratisches Bezirksamt [Management]; IX Bezirk [Partner],Vermögenstreuhänder Mag (); Karl Wiesflecker Medieninhaber (); Karl Wiesflecker Unternehmensgegenstand (),Vermögenstreuhänder Mag; Karl Wiesflecker Medieninhaber; Karl Wiesflecker Unternehmensgegenstand,"Public sources identify owner/shareholder names, but complete share percentages were not safely established.",PARTNER_OWNED,Vermögenstreuhänder Mag; Karl Wiesflecker Medieninhaber,Owner/Gesellschafter; Owner/Gesellschafter,MEDIUM_HIGH,https://www.kramas.at/ | https://www.kramas.at/ | https://www.kramas.at/ | https://www.kramas.at/ | https://www.kramas.at/ | https://www.kramas.at/ | https://www.kramas.at/unternehmen/ | https://www.kramas.at/unternehmen/ | https://www.kramas.at/impressum/ | https://www.kramas.at/impressum/ | https://www.kramas.at/impressum/,No ownership was inferred from surname. Unknown share percentages remain null. For international/network firms the Austrian operational leadership is preferred over a global parent.
IMMOcontract Real Estate Management GmbH,IMMOcontract Real Estate Management GmbH,IMMOcontract Real Estate Management GmbH,http://www.donath.at/ | http://www.donath.at/,https://firmen.wko.at/immocontract-real-estate-management-gmbh/steiermark/?firmaid=dbe2a200-b7a0-42d4-86c9-c84c06edd055&standortid=5&standortname=steiermark%20%28bundesland%29&suchbegriff=immobilienverwalter,kärnten | niederösterreich | oberösterreich | steiermark | wien,Sternäckerweg 20a 8041 Graz | Hauptplatz 9-13/7 2500 Baden | Lastenstraße 3 9020 Klagenfurt am Wörthersee | Grillparzerstraße 18-20 4020 Linz | Schnirchgasse 17 1030 Wien | Jakov-Lind-Straße 4/2 1020 Wien,PRIMARY_CORE,existing agent-first core target,A_CORE_30_PLUS_DIRECT,high,MAIN,Sascha Haimovici [Geschäftsführung]; BA Unternehmensgegenstand [Geschäftsführung]; Kreditvermittlerin Zuständige Gewerbebehörde [Geschäftsführung]; Magistratisches Bezirksamt [Management]; Wiener Ge [Management]; Landesgericht Wr [Geschäftsführung]; Neustadt Firmenbuchnummer [Geschäftsführung]; Kreditvermittler Firmenwortlaut [Management]; Harald Hundskarl [Geschäftsführung]; Thomas Sturm Unternehmensgegenstand Immobilientreuhänder [Geschäftsführung],Sascha Haimovici (); Abiodun-Regenfelder Immobilienfachberaterin (); Edith Alex Leitung Marketing (); Celen Arca Immobilienfachbera (); Ihre KundInnen (); Volksbank Eigentümerclub Sie (),Sascha Haimovici; Abiodun-Regenfelder Immobilienfachberaterin; Edith Alex Leitung Marketing; Celen Arca Immobilienfachbera,"Public sources identify owner/shareholder names, but complete share percentages were not safely established.",PARTNER_OWNED,Sascha Haimovici; Abiodun-Regenfelder Immobilienfachberaterin,Owner/Gesellschafter; Owner/Gesellschafter,MEDIUM_HIGH,https://www.immocontract.at/impressum | https://www.immocontract.at/impressum | https://www.immocontract.at/impressum | https://www.immocontract.at/impressum | https://www.immocontract.at/impressum | https://www.immocontract.at/impressum | https://www.immocontract.at/impressum | https://www.immocontract.at/impressum | https://www.immocontract.at/unser-unternehmen | https://www.immocontract.at/unser-team | https://www.immocontract.at/unser-team | https://www.immocontract.at/unser-team | https://www.immocontract.at/exklusiver-immobilienpartner-der-volksbank | https://www.immocontract.at/exklusiver-immobilienpartner-der-volksbank,No ownership was inferred from surname. Unknown share percentages remain null. For international/network firms the Austrian operational leadership is preferred over a global parent.
Palladio Immobilien GmbH,Palladio Immobilien GmbH,Palladio Immobilien GmbH,http://www.palladio-immobilien.at/ | http://www.palladio-immobilien.at/,https://firmen.wko.at/palladio-immobilien-gmbh/wien/?firmaid=6f77e8b8-4109-46d6-ac85-12ad559c2ce4&standortid=1&standortname=wien%20%28bundesland%29&suchbegriff=immobilienverwalter,wien,Münzwardeingasse 2/3 1060 Wien,PRIMARY_CORE,existing agent-first core target,D_CORE_RECALL_11_30,high,MAIN,Ihre Immobilie [Partner]; Jede Immobilie [Management]; Allianz Elementar Versicherungs-AG Objekt [Partner]; Office Center Handelskai Immobilienerrichtungs [Partner]; Herr Ing [Geschäftsführer]; Hafner Johannes [Geschäftsführer]; Frau Oppitz Herta Quelle [Geschäftsführer]; E-Commerce Gesetz [Partner],,unresolved,Ownership/control layer was not safely established from public evidence; operational management is retained where verified.,UNRESOLVED,Frau Oppitz Herta Quelle; Hafner Johannes; Herr Ing,Geschäftsführer; Geschäftsführer; Geschäftsführer,MEDIUM_HIGH,https://www.palladio-immobilien.at/ | https://www.palladio-immobilien.at/uber-uns/ | https://www.palladio-immobilien.at/partner/ | https://www.palladio-immobilien.at/partner/ | https://www.palladio-immobilien.at/impressum/ | https://www.palladio-immobilien.at/impressum/ | https://www.palladio-immobilien.at/impressum/ | https://www.palladio-immobilien.at/impressum/,No ownership was inferred from surname. Unknown share percentages remain null. For international/network firms the Austrian operational leadership is preferred over a global parent.
Stiller & Hohla Immobilientreuhänder GmbH,Stiller & Hohla Immobilientreuhänder GmbH,Stiller & Hohla Immobilientreuhänder GmbH,http://www.stiller-hohla.at/ | http://www.stiller-hohla.at/,https://firmen.wko.at/stiller-und-hohla-immobilientreuh%c3%a4nder-gmbh/salzburg/?firmaid=7a1bd960-03ae-4c71-a887-9adeda32eef0&standortid=4&standortname=salzburg%20%28bundesland%29&suchbegriff=immobilienverwalter,salzburg,Joseph-Messner-Straße 8-14 5020 Salzburg,PRIMARY_CORE,existing agent-first core target,A_CORE_30_PLUS_DIRECT,high,MAIN,TEAM Geschäftsleitung KommR Franz [Geschäftsführer]; Geschäftsführerin Mag [Geschäftsführer]; Evelyn Grill Assistentin [Geschäftsführer]; Personalwesen ImmobilienverwaltUNG Mag [Geschäftsführer]; Helmuth Kollmann Gesch [Geschäftsführer]; UNG Mag [Geschäftsführer]; Markus Bähr [Geschäftsführer]; IB Immobilienverwalter [Geschäftsführer]; Landesgericht Salzburg Aufsichtsbehörde [Geschäftsführung]; Helmuth Kollmann Ausgeübte Tätigkeit [Geschäftsführung],,unresolved,Ownership/control layer was not safely established from public evidence; operational management is retained where verified.,UNRESOLVED,Evelyn Grill Assistentin; Geschäftsführerin Mag; Helmuth Kollmann Ausgeübte Tätigkeit,Geschäftsführer; Geschäftsführer; Geschäftsführung,MEDIUM_HIGH,https://stiller-hohla.at/team/ | https://stiller-hohla.at/team/ | https://stiller-hohla.at/team/ | https://stiller-hohla.at/team/ | https://stiller-hohla.at/team/ | https://stiller-hohla.at/team/ | https://stiller-hohla.at/team/ | https://stiller-hohla.at/team/,No ownership was inferred from surname. Unknown share percentages remain null. For international/network firms the Austrian operational leadership is preferred over a global parent.
WSE Wiener Standortentwicklung GmbH,WSE Wiener Standortentwicklung GmbH,WSE Wiener Standortentwicklung GmbH,,https://firmen.wko.at/wse-wiener-standortentwicklung-gmbh/wien/?firmaid=9e4cd29e-fc6c-43c2-afca-24c24f3a43b3&standortid=1&standortname=wien%20%28bundesland%29&suchbegriff=immobilienverwalter,wien,Messeplatz 1 1020 Wien,ADD_TO_SALES_POOL,"explicitly develops, manages and administers real estate including office and public buildings",E_ADJACENT_30_PLUS,high,MAIN,,,unresolved,Ownership/control layer was not safely established from public evidence; operational management is retained where verified.,UNRESOLVED,,,LOW,,No ownership was inferred from surname. Unknown share percentages remain null. For international/network firms the Austrian operational leadership is preferred over a global parent.
Brichard Immobilien GmbH,Brichard Immobilien GmbH,Brichard Immobilien GmbH,http://www.brichard.at/ | http://www.brichard.at/,https://firmen.wko.at/brichard-immobilien-gmbh/wien/?firmaid=ddcbf14e-575a-457e-a7ac-3ba72a9cabb5&standortid=1&standortname=wien%20%28bundesland%29&suchbegriff=immobilienverwalter,wien,Peter-Jordan-Straße 8 1190 Wien,PRIMARY_CORE,existing agent-first core target,A_CORE_30_PLUS_DIRECT,high,MAIN,Ausgezeichnete Stärken Ausbildung [Partner]; Weiterbildung Karriere [Partner]; Menü Menü [Partner]; Great Place [Management]; Work Zurück Weiter [Management]; Monatliche Abrechnung [Partner]; Rent Control Sie [Partner]; Ihre Wohnung [Partner]; Work Im Rahmen [Geschäftsführer]; Gute Mitarbeiterinnen [Partner],Leistungen Wohnungseigentum Hauseigentum Mischhäuser (); Liegenschaftseigentümer Kundenservice Brichard-App Login (); Brichard-Online Login Online-Formulare Schadensmeldung (); Rückruf Service Anforderung (); Korrespondenz Schlüsselbestätigung Kundendaten-Änderung Brichard-Online (); Service Wir (); Lesen Sie (); News Gerne (); Rent Control Sie (); Ihre Wohnung (),Leistungen Wohnungseigentum Hauseigentum Mischhäuser; Liegenschaftseigentümer Kundenservice Brichard-App Login; Brichard-Online Login Online-Formulare Schadensmeldung; Rückruf Service Anforderung,"Public sources identify owner/shareholder names, but complete share percentages were not safely established.",PARTNER_OWNED,Leistungen Wohnungseigentum Hauseigentum Mischhäuser; Liegenschaftseigentümer Kundenservice Brichard-App Login,Owner/Gesellschafter; Owner/Gesellschafter,MEDIUM_HIGH,https://www.brichard.at/ | https://www.brichard.at/ | https://www.brichard.at/ | https://www.brichard.at/ | https://www.brichard.at/ | https://www.brichard.at/ | https://www.brichard.at/ | https://www.brichard.at/ | https://www.brichard.at/ | https://www.brichard.at/ | https://www.brichard.at/ | https://www.brichard.at/ | https://www.brichard.at/ | https://www.brichard.at/ | https://www.brichard.at/ | https://www.brichard.at/,No ownership was inferred from surname. Unknown share percentages remain null. For international/network firms the Austrian operational leadership is preferred over a global parent.
Gutwerk Immobilien Treuhand GmbH,Gutwerk Immobilien Treuhand GmbH,Gutwerk Immobilien Treuhand GmbH,,https://firmen.wko.at/gutwerk-immobilien-treuhand-gmbh/wien/?firmaid=e98c9dfe-41b4-4b02-820a-17cf04779d16&standortid=1&standortname=wien%20%28bundesland%29&suchbegriff=immobilienverwalter,wien,Marc-Aurel-Straße 10-12/12 1010 Wien,PRIMARY_CORE,existing agent-first core target,D_CORE_RECALL_11_30,high,MAIN,,,unresolved,Ownership/control layer was not safely established from public evidence; operational management is retained where verified.,UNRESOLVED,,,LOW,,No ownership was inferred from surname. Unknown share percentages remain null. For international/network firms the Austrian operational leadership is preferred over a global parent.
IVB-Immobilienvermarktung und Bauträger Ges.m.b.H.,IVB-Immobilienvermarktung und Bauträger Ges.m.b.H.,IVB-Immobilienvermarktung und Bauträger Ges.m.b.H.,,https://firmen.wko.at/ivb-immobilienvermarktung-und-bautr%c3%a4ger-gesmbh/burgenland/?firmaid=cb9c2ef1-4df2-4ce4-8b62-8e9dec5ab0fe&standortid=9&standortname=burgenland%20%28bundesland%29&suchbegriff=immobilienverwalter,burgenland,Hauptstraße 41 7000 Eisenstadt,PRIMARY_CORE,existing agent-first core target,D_CORE_RECALL_11_30,high,MAIN,,,unresolved,Ownership/control layer was not safely established from public evidence; operational management is retained where verified.,UNRESOLVED,,,LOW,,No ownership was inferred from surname. Unknown share percentages remain null. For international/network firms the Austrian operational leadership is preferred over a global parent.
