no,company_name,stage3_scope,stage2_process_fit_class,stage2_size_class,management,immediate_owners,ownership_pct,ultimate_control,ownership_type,primary_dm,primary_dm_role,primary_dm_reason,website,wko_url,source_urls,confidence,review_note,research_complete
57,AREV Immobilien Gesellschaft m.b.H.,MAIN,PRIMARY_CORE,A_CORE_30_PLUS_DIRECT,Ing Claus Pargfrieder MBA; Mag Gerald Hommer; DI Dr Horst Lischka MBA,AREV Holding GmbH,100% sole shareholder,LAWOG and Oberösterreichische Versicherung via AREV Holding GmbH,CORPORATE_GROUP,Claus Pargfrieder; Gerald Hommer; Horst Lischka,Geschäftsführer,Institutional parent; current operating GFs are outreach targets,http://www.arev.at/,https://firmen.wko.at/arev-immobilien-gesellschaft-mbh/ober%c3%b6sterreich/?firmaid=c161f677-5e7a-4720-945d-e4475d198301&standortid=3&standortname=ober%c3%b6sterreich%20%28bundesland%29&suchbegriff=immobilienverwalter,https://www.evi.gv.at/f/384773v | https://www.evi.gv.at/f/383426m | https://firmen.wko.at/arev-immobilien-gesellschaft-mbh/ober%c3%b6sterreich/?firmaid=c161f677-5e7a-4720-945d-e4475d198301&standortid=3&standortname=ober%c3%b6sterreich%20%28bundesland%29&suchbegriff=immobilienverwalter,HIGH,Current 2026 holding structure,yes
58,Franz Kramas Gebäudeverwaltung G.m.b.H.,MAIN,PRIMARY_CORE,C_CORE_20_PLUS_RANGE,Karl Wiesflecker,Karl Wiesflecker,100%,Karl Wiesflecker,INDIVIDUAL_FAMILY_CONTROL,Karl Wiesflecker,Owner / Geschäftsführer,Sole owner-manager,http://www.kramas.at/,https://firmen.wko.at/franz-kramas-geb%c3%a4udeverwaltung-gmbh/wien/?firmaid=cbd09d2d-cff7-4a30-8a18-11710631c757&standortid=1&standortname=wien%20%28bundesland%29&suchbegriff=immobilienverwalter,https://www.kramas.at/ | https://firmen.wko.at/franz-kramas-geb%c3%a4udeverwaltung-gmbh/wien/?firmaid=cbd09d2d-cff7-4a30-8a18-11710631c757&standortid=1&standortname=wien%20%28bundesland%29&suchbegriff=immobilienverwalter,HIGH,Current public registry/business data,yes
59,IMMOcontract Real Estate Management GmbH,MAIN,PRIMARY_CORE,A_CORE_30_PLUS_DIRECT,Harald Hundskarl; Thomas Sturm,ADOMO Beteiligungs GmbH,100% sole shareholder,ADOMO group,CORPORATE_GROUP,Harald Hundskarl; Thomas Sturm,Geschäftsführer,Corporate owner; operating GFs are direct decision layer,http://www.donath.at/,https://firmen.wko.at/immocontract-real-estate-management-gmbh/steiermark/?firmaid=dbe2a200-b7a0-42d4-86c9-c84c06edd055&standortid=5&standortname=steiermark%20%28bundesland%29&suchbegriff=immobilienverwalter,https://www.immocontract.at/ | https://firmen.wko.at/immocontract-real-estate-management-gmbh/steiermark/?firmaid=dbe2a200-b7a0-42d4-86c9-c84c06edd055&standortid=5&standortname=steiermark%20%28bundesland%29&suchbegriff=immobilienverwalter,HIGH,Current public registry research,yes
60,Palladio Immobilien GmbH,MAIN,PRIMARY_CORE,D_CORE_RECALL_11_30,Herta Oppitz; Johannes Hafner,Palladio Beteiligungs GmbH,100% sole shareholder,Palladio group,CORPORATE_GROUP,Herta Oppitz; Johannes Hafner,Geschäftsführer,Corporate parent; local GFs are first outreach,http://www.palladio-immobilien.at/,https://firmen.wko.at/palladio-immobilien-gmbh/wien/?firmaid=6f77e8b8-4109-46d6-ac85-12ad559c2ce4&standortid=1&standortname=wien%20%28bundesland%29&suchbegriff=immobilienverwalter,https://www.palladio.at/ | https://firmen.wko.at/palladio-immobilien-gmbh/wien/?firmaid=6f77e8b8-4109-46d6-ac85-12ad559c2ce4&standortid=1&standortname=wien%20%28bundesland%29&suchbegriff=immobilienverwalter,MEDIUM_HIGH,Current public registry research,yes
61,Stiller & Hohla Immobilientreuhänder GmbH,MAIN,PRIMARY_CORE,A_CORE_30_PLUS_DIRECT,Leo Hohla; Franz Stiller; Helmuth Kollmann; Andrea Stiller,Hohla Holding GmbH; Stiller Holding GmbH,50%; 50%,Hohla family holding and Stiller family holding,INDIVIDUAL_FAMILY_CONTROL,Leo Hohla; Franz Stiller,Owner-family Geschäftsführer,50/50 family holdings; both principal family executives prioritized,http://www.stiller-hohla.at/,https://firmen.wko.at/stiller-und-hohla-immobilientreuh%c3%a4nder-gmbh/salzburg/?firmaid=7a1bd960-03ae-4c71-a887-9adeda32eef0&standortid=4&standortname=salzburg%20%28bundesland%29&suchbegriff=immobilienverwalter,https://www.stiller-hohla.at/ | https://firmen.wko.at/stiller-und-hohla-immobilientreuh%c3%a4nder-gmbh/salzburg/?firmaid=7a1bd960-03ae-4c71-a887-9adeda32eef0&standortid=4&standortname=salzburg%20%28bundesland%29&suchbegriff=immobilienverwalter,HIGH,Current 50/50 holding structure from public registry/business data,yes
62,WSE Wiener Standortentwicklung GmbH,MAIN,ADD_TO_SALES_POOL,E_ADJACENT_30_PLUS,Josef Herwei; Andreas Meinhold,Wien Holding GmbH,100% sole shareholder,City of Vienna via Wien Holding,PUBLIC_STATE,Josef Herwei; Andreas Meinhold,Geschäftsführer,Municipal holding owner; operating GFs are actionable,,https://firmen.wko.at/wse-wiener-standortentwicklung-gmbh/wien/?firmaid=9e4cd29e-fc6c-43c2-afca-24c24f3a43b3&standortid=1&standortname=wien%20%28bundesland%29&suchbegriff=immobilienverwalter,https://www.wse.at/ | https://firmen.wko.at/wse-wiener-standortentwicklung-gmbh/wien/?firmaid=9e4cd29e-fc6c-43c2-afca-24c24f3a43b3&standortid=1&standortname=wien%20%28bundesland%29&suchbegriff=immobilienverwalter,HIGH,Current public ownership/management,yes
63,Brichard Immobilien GmbH,MAIN,PRIMARY_CORE,A_CORE_30_PLUS_DIRECT,Oliver Brichard,Oliver Brichard; Robert Trescher,Not publicly shown in free EVI,Brichard/Trescher private ownership,PARTNER_OWNED,Oliver Brichard,Geschäftsführer / Gesellschafter,Operating GF is a shareholder and visible principal,http://www.brichard.at/,https://firmen.wko.at/brichard-immobilien-gmbh/wien/?firmaid=ddcbf14e-575a-457e-a7ac-3ba72a9cabb5&standortid=1&standortname=wien%20%28bundesland%29&suchbegriff=immobilienverwalter,https://www.brichard.at/ueber-uns/team/ | https://firmen.wko.at/brichard-immobilien-gmbh/wien/?firmaid=ddcbf14e-575a-457e-a7ac-3ba72a9cabb5&standortid=1&standortname=wien%20%28bundesland%29&suchbegriff=immobilienverwalter,HIGH,Official company source plus registry shareholder research,yes
64,Gutwerk Immobilien Treuhand GmbH,MAIN,PRIMARY_CORE,D_CORE_RECALL_11_30,Stefan Jaitler; Barbara Jaitler-Konya,Consult Data Rechenzentrum GmbH,100% sole shareholder,Consult Data group,CORPORATE_GROUP,Stefan Jaitler; Barbara Jaitler-Konya,Geschäftsführer,Corporate parent; operating GFs are first outreach,,https://firmen.wko.at/gutwerk-immobilien-treuhand-gmbh/wien/?firmaid=e98c9dfe-41b4-4b02-820a-17cf04779d16&standortid=1&standortname=wien%20%28bundesland%29&suchbegriff=immobilienverwalter,https://www.gutwerk.at/ | https://firmen.wko.at/gutwerk-immobilien-treuhand-gmbh/wien/?firmaid=e98c9dfe-41b4-4b02-820a-17cf04779d16&standortid=1&standortname=wien%20%28bundesland%29&suchbegriff=immobilienverwalter,MEDIUM_HIGH,Current public registry research,yes
65,IVB-Immobilienvermarktung und Bauträger Ges.m.b.H.,MAIN,PRIMARY_CORE,D_CORE_RECALL_11_30,Matthias Zachs; Günter Buchinger,Koch Vermögensverwaltung GmbH; BANK BURGENLAND Immobilien Holding GmbH; Buchinger Immobilien GesmbH,33.33%; 33.33%; 33.33%,Three-way corporate ownership consortium,CORPORATE_GROUP,Matthias Zachs; Günter Buchinger,Geschäftsführer,No controlling shareholder; current operational GFs prioritized,,https://firmen.wko.at/ivb-immobilienvermarktung-und-bautr%c3%a4ger-gesmbh/burgenland/?firmaid=cb9c2ef1-4df2-4ce4-8b62-8e9dec5ab0fe&standortid=9&standortname=burgenland%20%28bundesland%29&suchbegriff=immobilienverwalter,https://www.evi.gv.at/f/110194a | https://firmen.wko.at/ivb-immobilienvermarktung-und-bautr%c3%a4ger-gesmbh/burgenland/?firmaid=cb9c2ef1-4df2-4ce4-8b62-8e9dec5ab0fe&standortid=9&standortname=burgenland%20%28bundesland%29&suchbegriff=immobilienverwalter,HIGH,Equal thirds from public business-registry data; current shareholder list cross-checked,yes
66,Pusta & Partner HausverwaltungsGmbH,MAIN,PRIMARY_CORE,D_CORE_RECALL_11_30,Markus Pusta; Lukas Pusta-Katzian,Günter Pusta; Markus Pusta; Lukas Pusta-Katzian,Not publicly shown in free EVI,Pusta family ownership,INDIVIDUAL_FAMILY_CONTROL,Markus Pusta; Lukas Pusta-Katzian,Geschäftsführer / Gesellschafter,Both operating GFs are family shareholders,https://www.pusta-partner.at/,https://firmen.wko.at/pusta-und-partner-hausverwaltungsgmbh-immobilientreuh%c3%a4nder-verwalter/wien/?firmaid=a1db2e73-f7c0-43f0-9b66-ab991ef0bd7b&standortid=1&standortname=wien%20%28bundesland%29&suchbegriff=immobilienverwalter,https://www.pusta.at/ | https://firmen.wko.at/pusta-und-partner-hausverwaltungsgmbh-immobilientreuh%c3%a4nder-verwalter/wien/?firmaid=a1db2e73-f7c0-43f0-9b66-ab991ef0bd7b&standortid=1&standortname=wien%20%28bundesland%29&suchbegriff=immobilienverwalter,HIGH,Current public registry research,yes
67,Venta Immobilien Service GmbH,MAIN,PRIMARY_CORE,D_CORE_RECALL_11_30,Mag Siegbert Schützenhöfer,Venta Consulting GmbH,100% sole shareholder,Mag Siegbert Schützenhöfer via Venta Consulting GmbH -> Venta Beteiligungs GmbH,INDIVIDUAL_FAMILY_CONTROL,Siegbert Schützenhöfer,Ultimate owner-controller / Geschäftsführer,He runs every layer and is sole shareholder of the ultimate Venta Beteiligungs GmbH,,https://firmen.wko.at/venta-immobilien-service-gmbh/steiermark/?firmaid=07639a24-aa67-4fa3-b85b-dcad9eeeb5b0&standortid=5&standortname=steiermark%20%28bundesland%29&suchbegriff=immobilienverwalter,https://www.evi.gv.at/f/417852p | https://www.evi.gv.at/f/288937h | https://www.evi.gv.at/f/300232v | https://firmen.wko.at/venta-immobilien-service-gmbh/steiermark/?firmaid=07639a24-aa67-4fa3-b85b-dcad9eeeb5b0&standortid=5&standortname=steiermark%20%28bundesland%29&suchbegriff=immobilienverwalter,HIGH,Three-level ownership chain resolved,yes
68,Die Kärntner-Wohnbau und Hausverwaltungsgesellschaft m.b.H.,MAIN,PRIMARY_CORE,D_CORE_RECALL_11_30,Mag Daniela Sampl-Lutz; Mag Fabian Eder,immo 360 grad gmbh,100% sole shareholder,ÖSW Konzern via immo 360 grad gmbh,CORPORATE_GROUP,Daniela Sampl-Lutz; Fabian Eder,Geschäftsführer,ÖSW-group ownership; current local GFs are operational decision layer,,https://firmen.wko.at/%22die-k%c3%a4rntner%22-wohnbau-und-hausverwaltungsgesellschaft-mbh/k%c3%a4rnten/?firmaid=12ff5b5a-8740-4bb8-8e23-85715b6c83a9&standortid=6&standortname=k%c3%a4rnten%20%28bundesland%29&suchbegriff=immobilienverwalter,https://www.evi.gv.at/f/105496t | https://www.immo-360.at/unternehmen | https://firmen.wko.at/%22die-k%c3%a4rntner%22-wohnbau-und-hausverwaltungsgesellschaft-mbh/k%c3%a4rnten/?firmaid=12ff5b5a-8740-4bb8-8e23-85715b6c83a9&standortid=6&standortname=k%c3%a4rnten%20%28bundesland%29&suchbegriff=immobilienverwalter,HIGH,Current 2026 management; immo360 official site confirms ÖSW group,yes
69,COLLIERS Immobilienverwaltung GmbH,MAIN,PRIMARY_CORE,B_CORE_30_PLUS_GROUP,Philip Engel,Philip Engel; Colliers International Immobilienmakler GmbH; Ronald Leitner,Not publicly shown in free EVI,Colliers Austria plus individual partners,MIXED,Philip Engel,Geschäftsführer / Gesellschafter,Current GF is also a direct shareholder,https://www.colliers.com/de-at/dienstleistungen/property-management-services,https://firmen.wko.at/colliers-immobilienverwaltung-gmbh/wien/?firmaid=75f91559-31fe-4a99-94c3-5e0d5534bb38&standortid=1&standortname=wien%20%28bundesland%29&suchbegriff=immobilienverwalter,https://www.colliers.com/de-at | https://firmen.wko.at/colliers-immobilienverwaltung-gmbh/wien/?firmaid=75f91559-31fe-4a99-94c3-5e0d5534bb38&standortid=1&standortname=wien%20%28bundesland%29&suchbegriff=immobilienverwalter,MEDIUM_HIGH,Current public registry research,yes
70,IG Immobilien Management GmbH,MAIN,PRIMARY_CORE,A_CORE_30_PLUS_DIRECT,Hubert Vögel; Paul Grassel,IG Immobilien Invest GmbH,100% sole shareholder,IG Immobilien group,CORPORATE_GROUP,Hubert Vögel; Paul Grassel,Geschäftsführer,Corporate parent; local management is operational outreach layer,http://www.ig-immobilien.com/,https://firmen.wko.at/ig-immobilien-management-gmbh/wien/?firmaid=c4d3400e-4a70-4a48-845a-99d6d37c175f&standortid=1&standortname=wien%20%28bundesland%29&suchbegriff=immobilienverwalter,https://www.ig-immobilien.com/ | https://firmen.wko.at/ig-immobilien-management-gmbh/wien/?firmaid=c4d3400e-4a70-4a48-845a-99d6d37c175f&standortid=1&standortname=wien%20%28bundesland%29&suchbegriff=immobilienverwalter,HIGH,Current public registry/corporate research,yes
71,Leitgöb Hausverwaltung GmbH,MAIN,PRIMARY_CORE,B_CORE_30_PLUS_GROUP,Günther Leitgöb; Isabella Nindl-Leitgöb,Leitgöb Beteiligung und Verwaltung GmbH,100% sole shareholder,Günther Leitgöb 99.25%; Isabella Nindl-Leitgöb 0.75% via parent,INDIVIDUAL_FAMILY_CONTROL,Günther Leitgöb,Controlling owner / Geschäftsführer,99.25% ultimate owner through sole parent and operating GF,,https://firmen.wko.at/leitg%c3%b6b-hausverwaltung-gmbh/salzburg/?firmaid=0d349152-ab87-43fc-8530-6ccc2e0a8a6d&standortid=4&standortname=salzburg%20%28bundesland%29&suchbegriff=immobilienverwalter,https://www.evi.gv.at/f/519411s | https://www.firmenabc.at/leitgoeb-beteiligung-und-verwaltung-gmbh_KHLL | https://firmen.wko.at/leitg%c3%b6b-hausverwaltung-gmbh/salzburg/?firmaid=0d349152-ab87-43fc-8530-6ccc2e0a8a6d&standortid=4&standortname=salzburg%20%28bundesland%29&suchbegriff=immobilienverwalter,HIGH,Ultimate family-control percentages resolved,yes
72,RES Immobilienverwaltung GmbH,MAIN,PRIMARY_CORE,D_CORE_RECALL_11_30,Dr Klaus Pfoser,Dr Klaus Pfoser,100%,Dr Klaus Pfoser,INDIVIDUAL_FAMILY_CONTROL,Klaus Pfoser,Owner / Geschäftsführer,100% owner-manager,http://www.res.at/,https://firmen.wko.at/res-immobilienverwaltung-gmbh-res-immobilienverwaltung-gmbh/wien/?firmaid=65a232ee-baac-4ccf-a4fa-d120bd2ac7ec&standortid=1&standortname=wien%20%28bundesland%29&suchbegriff=immobilienverwalter,https://www.res-immobilien.at/ | https://firmen.wko.at/res-immobilienverwaltung-gmbh-res-immobilienverwaltung-gmbh/wien/?firmaid=65a232ee-baac-4ccf-a4fa-d120bd2ac7ec&standortid=1&standortname=wien%20%28bundesland%29&suchbegriff=immobilienverwalter,HIGH,Public registry/business-data ownership resolved,yes
73,Weinberger Biletti Immobilien Graz GmbH,MAIN,PRIMARY_CORE,C_CORE_20_PLUS_RANGE,Susanne Weinberger,Susanne Weinberger; Udo Weinberger,Not publicly shown in free EVI,Weinberger family,INDIVIDUAL_FAMILY_CONTROL,Susanne Weinberger,Geschäftsführerin / Gesellschafterin,Current managing shareholder,http://www.weinberger-biletti.at/,https://firmen.wko.at/weinberger-biletti-immobilien-graz-gmbh-immobilienverwaltung/steiermark/?firmaid=58454438-1735-4e38-9836-6164e061238a&standortid=5&standortname=steiermark%20%28bundesland%29&suchbegriff=immobilienverwalter,https://www.weinberger-biletti.at/ | https://firmen.wko.at/weinberger-biletti-immobilien-graz-gmbh-immobilienverwaltung/steiermark/?firmaid=58454438-1735-4e38-9836-6164e061238a&standortid=5&standortname=steiermark%20%28bundesland%29&suchbegriff=immobilienverwalter,HIGH,Current public registry research,yes
74,Hausverwaltung Franz Dangl Gesellschaft m.b.H.,MAIN,PRIMARY_CORE,D_CORE_RECALL_11_30,Thomas Minten,Margarete Nemetschek; Thomas Minten,Not publicly shown in free EVI,Nemetschek/Minten private ownership,PARTNER_OWNED,Thomas Minten,Geschäftsführer / Gesellschafter,Operating GF is a shareholder,http://www.franz-dangl-gmbh.at/,https://firmen.wko.at/%22hausverwaltung-franz-dangl%22-gesellschaft-mbh/wien/?firmaid=4bb67eff-2c49-4cd4-a76f-0eed2ae01bdf&standortid=1&standortname=wien%20%28bundesland%29&suchbegriff=immobilienverwalter,https://www.dangl.at/ | https://firmen.wko.at/%22hausverwaltung-franz-dangl%22-gesellschaft-mbh/wien/?firmaid=4bb67eff-2c49-4cd4-a76f-0eed2ae01bdf&standortid=1&standortname=wien%20%28bundesland%29&suchbegriff=immobilienverwalter,MEDIUM_HIGH,Current public registry research,yes
75,convival Immobilien GmbH,MAIN,PRIMARY_CORE,D_CORE_RECALL_11_30,Gregor Zimmel,Gregor Zimmel,100% sole shareholder,Gregor Zimmel,INDIVIDUAL_FAMILY_CONTROL,Gregor Zimmel,Owner / Geschäftsführer,Sole owner-manager,,https://firmen.wko.at/convival-immobilien-gmbh/wien/?firmaid=3547dbe5-5bd0-48b7-be8d-ee0ca80b0044&standortid=1&standortname=wien%20%28bundesland%29&suchbegriff=immobilienverwalter,https://www.evi.gv.at/f/566253a | https://firmen.wko.at/convival-immobilien-gmbh/wien/?firmaid=3547dbe5-5bd0-48b7-be8d-ee0ca80b0044&standortid=1&standortname=wien%20%28bundesland%29&suchbegriff=immobilienverwalter,HIGH,Current public Firmenbuch,yes
76,Immobilien Treuhand Hanke & Bodner KG,MAIN,PRIMARY_CORE,D_CORE_RECALL_11_30,Christina Elisabeth Bodner (unlimited managing partner),Christina Elisabeth Bodner; Traugott Hanke; Astrid Hanke,"KG structure; Traugott Hanke EUR 1,000; Astrid Hanke EUR 1,000 limited interests",Hanke/Bodner partner structure,PARTNER_OWNED,Christina Elisabeth Bodner,Managing general partner,Unlimited partner with management/representation authority,https://www.spittaler-hausverwaltung.at/,https://firmen.wko.at/immobilien-treuhand-hanke-und-bodner-kg/k%c3%a4rnten/?firmaid=b243c568-5e0c-4d69-845d-088ae10a693a&standortid=6&standortname=k%c3%a4rnten%20%28bundesland%29&suchbegriff=immobilienverwalter,https://www.hanke-bodner.at/ | https://firmen.wko.at/immobilien-treuhand-hanke-und-bodner-kg/k%c3%a4rnten/?firmaid=b243c568-5e0c-4d69-845d-088ae10a693a&standortid=6&standortname=k%c3%a4rnten%20%28bundesland%29&suchbegriff=immobilienverwalter,MEDIUM_HIGH,KG ownership/management resolved in public registry research,yes
77,LIM-MANAGEMENT GmbH,MAIN,PRIMARY_CORE,B_CORE_30_PLUS_GROUP,MMag Dr Clemens Limberg,LIMBERG GmbH,100% sole shareholder,MMag Dr Clemens Limberg; Mag Miriam Limberg via LIMBERG GmbH,INDIVIDUAL_FAMILY_CONTROL,Clemens Limberg,Owner-family Geschäftsführer,Operating GF and ultimate family owner in parent company,http://www.lim-management.at/,https://firmen.wko.at/lim-management-gmbh-immobilienverwaltung/wien/?firmaid=010eeb90-7e9f-41ce-b393-6ee8d3c325f3&standortid=1&standortname=wien%20%28bundesland%29&suchbegriff=immobilienverwalter,https://www.evi.gv.at/f/334564g | https://firmen.wko.at/lim-management-gmbh-immobilienverwaltung/wien/?firmaid=010eeb90-7e9f-41ce-b393-6ee8d3c325f3&standortid=1&standortname=wien%20%28bundesland%29&suchbegriff=immobilienverwalter,HIGH,Parent owners Clemens and Miriam Limberg confirmed,yes
78,Sabo+Mandl & Tomaschek Immobilien GmbH,MAIN,PRIMARY_CORE,A_CORE_30_PLUS_DIRECT,Ferenc Sabo; Evelyn Mandl,Ferenc Sabo; Evelyn Mandl,Not publicly shown in free EVI,Ferenc Sabo; Evelyn Mandl,PARTNER_OWNED,Ferenc Sabo; Evelyn Mandl,Geschäftsführer / Gesellschafter,Both current managers are owners,https://www.smt-immobilien.at/,https://firmen.wko.at/sabomandl-und-tomaschek-immobilien-gmbh/wien/?firmaid=2dc15e46-bd71-4b0c-9b35-5e3feaac897c&standortid=1&standortname=wien%20%28bundesland%29&suchbegriff=immobilienverwalter,https://www.sabo-mandl.at/ | https://firmen.wko.at/sabomandl-und-tomaschek-immobilien-gmbh/wien/?firmaid=2dc15e46-bd71-4b0c-9b35-5e3feaac897c&standortid=1&standortname=wien%20%28bundesland%29&suchbegriff=immobilienverwalter,HIGH,Current public registry research,yes
79,WESIAK Gesellschaft m.b.H.,MAIN,PRIMARY_CORE,B_CORE_30_PLUS_GROUP,Michael Spazierer; Matthias-Timur Jelinek,Michael Spazierer; Matthias-Timur Jelinek,Not publicly shown in free EVI,Michael Spazierer; Matthias-Timur Jelinek,PARTNER_OWNED,Michael Spazierer; Matthias-Timur Jelinek,Geschäftsführer / Gesellschafter,Both current managers are shareholders,http://www.wesiak.com/,https://firmen.wko.at/wesiak-gesellschaft-mbh-wwesiak-gesellschaft-mbh/steiermark/?firmaid=df2b5e51-b25e-4524-b0fc-20ab91bb85d1&standortid=5&standortname=steiermark%20%28bundesland%29&suchbegriff=immobilienverwalter,https://www.wesiak.at/ | https://firmen.wko.at/wesiak-gesellschaft-mbh-wwesiak-gesellschaft-mbh/steiermark/?firmaid=df2b5e51-b25e-4524-b0fc-20ab91bb85d1&standortid=5&standortname=steiermark%20%28bundesland%29&suchbegriff=immobilienverwalter,HIGH,Current public registry research,yes
80,CBRE GWS Austria GmbH,MAIN,ADD_TO_SALES_POOL,E_ADJACENT_30_PLUS,Michael Erpelding; Felix Mathiowetz; David Corral,Relam Amsterdam Holdings B.V.,100% sole shareholder,"CBRE Group, Inc.",CORPORATE_GROUP,Michael Erpelding; Felix Mathiowetz,Geschäftsführer,Global corporate ownership; Austrian management is actionable layer,,https://firmen.wko.at/cbre-gws-austria-gmbh/tirol/?firmaid=5a15c029-6f74-46ae-9744-690c59c0627a&standortid=7&standortname=tirol%20%28bundesland%29&suchbegriff=immobilienverwalter,https://www.cbre.at/ | https://firmen.wko.at/cbre-gws-austria-gmbh/tirol/?firmaid=5a15c029-6f74-46ae-9744-690c59c0627a&standortid=7&standortname=tirol%20%28bundesland%29&suchbegriff=immobilienverwalter,HIGH,Current public registry/corporate research,yes
81,HÖS Heimat Österreich Service GesmbH,MAIN,PRIMARY_CORE,A_CORE_30_PLUS_DIRECT,Franz Berger; Dominique Gefahrt,Heimat Österreich gemeinnützige Wohnungs- und Siedlungsgesellschaft m.b.H.,100% sole shareholder,Caritas OÖ 16.65%; Caritas Wien 18.15%; Raiffeisenverband Salzburg 25%; Caritas Salzburg 25.20%; Diözese St. Pölten 15% via parent,CORPORATE_GROUP,Franz Berger; Dominique Gefahrt,Geschäftsführer,Fragmented institutional parent ownership; local GFs are first outreach,,https://firmen.wko.at/h%c3%96s-heimat-%c3%96sterreich-service-gesmbh/salzburg/?firmaid=60b9d09f-16e8-4f20-8463-0305e579475c&standortid=4&standortname=salzburg%20%28bundesland%29&suchbegriff=immobilienverwalter,https://www.hoes.at/ | https://firmen.wko.at/h%c3%96s-heimat-%c3%96sterreich-service-gesmbh/salzburg/?firmaid=60b9d09f-16e8-4f20-8463-0305e579475c&standortid=4&standortname=salzburg%20%28bundesland%29&suchbegriff=immobilienverwalter,HIGH,Ultimate institutional ownership percentages established in public company data,yes
82,KIBB Immobilien GmbH,MAIN,ADD_TO_SALES_POOL,E_ADJACENT_30_PLUS,Thomas Auböck,Pro Familia Privatstiftung; Felicius Immobilien GmbH; KOPUS Immobilien GmbH; Auböck Invest GmbH,Current free EVI does not show percentages,Four-owner current shareholder structure,MIXED,Thomas Auböck,Geschäftsführer,Current GF; older 60/40 data intentionally rejected after 2026 shareholder changes,,https://firmen.wko.at/kibb-immobilien-gmbh/wien/?firmaid=1abea1f8-b61b-405a-873a-22e8ad6430bf&standortid=1&standortname=wien%20%28bundesland%29&suchbegriff=immobilienverwalter,https://www.kibb.at/ | https://firmen.wko.at/kibb-immobilien-gmbh/wien/?firmaid=1abea1f8-b61b-405a-873a-22e8ad6430bf&standortid=1&standortname=wien%20%28bundesland%29&suchbegriff=immobilienverwalter,HIGH,Uses current four-shareholder registry state; no stale percentages,yes
83,REIWAG Facility Services GmbH,MAIN,ADD_TO_SALES_POOL,E_ADJACENT_30_PLUS,Viktor Wagner; Thomas Dittrich,Viktor Wagner; VIWAG Privatstiftung,Not publicly shown in free EVI,Viktor Wagner / VIWAG Privatstiftung,FOUNDATION_CONTROL,Viktor Wagner,Geschäftsführer / Gesellschafter,Named individual shareholder and operating GF alongside family/control foundation,http://www.reiwag.com/,https://firmen.wko.at/reiwag-facility-services-gmbh/wien/?firmaid=ccd49180-ebb3-460d-a3e1-c311d3b25cf9&standortid=1&standortname=wien%20%28bundesland%29&suchbegriff=immobilienverwalter,https://www.reiwag.com/ | https://firmen.wko.at/reiwag-facility-services-gmbh/wien/?firmaid=ccd49180-ebb3-460d-a3e1-c311d3b25cf9&standortid=1&standortname=wien%20%28bundesland%29&suchbegriff=immobilienverwalter,HIGH,Current public registry research,yes
84,Weinberger Biletti Immobilien GmbH,MAIN,PRIMARY_CORE,C_CORE_20_PLUS_RANGE,Marko Weinberger; Angelika Weinberger,Marko Weinberger,100% sole shareholder,Marko Weinberger,INDIVIDUAL_FAMILY_CONTROL,Marko Weinberger,Owner / Geschäftsführer,Sole shareholder and current GF,http://www.wbi.wien/,https://firmen.wko.at/weinberger-biletti-immobilien-gmbh-hausverwaltung/wien/?firmaid=dae5cc36-561a-431f-b78c-43832158c004&standortid=1&standortname=wien%20%28bundesland%29&suchbegriff=immobilienverwalter,https://www.weinberger-biletti.at/ | https://firmen.wko.at/weinberger-biletti-immobilien-gmbh-hausverwaltung/wien/?firmaid=dae5cc36-561a-431f-b78c-43832158c004&standortid=1&standortname=wien%20%28bundesland%29&suchbegriff=immobilienverwalter,HIGH,Current public registry research,yes
85,ARWAG Immobilientreuhand Gesellschaft m.b.H.,MAIN,PRIMARY_CORE,B_CORE_30_PLUS_GROUP,Michael Schmidl; Michaela Reiter-Benesch,ARWAG Holding AG,100% sole shareholder,"Wien Holding 63.03% plus Erste, Fonds für temporäres Wohnen and Wiener Städtische in ARWAG Holding",PUBLIC_STATE,Michael Schmidl; Michaela Reiter-Benesch,Geschäftsführer,City-controlled holding but operating company decisions sit with current GFs,http://www.arwag.at/,https://firmen.wko.at/arwag-immobilientreuhand-gesellschaft-mbh-wo-das-leben-lebt/wien/?firmaid=e7a3723a-2739-4e83-9d1a-5612db0501b7&standortid=1&standortname=wien%20%28bundesland%29&suchbegriff=immobilienverwalter,https://www.arwag.at/Impressum | https://firmen.wko.at/arwag-immobilientreuhand-gesellschaft-mbh-wo-das-leben-lebt/wien/?firmaid=e7a3723a-2739-4e83-9d1a-5612db0501b7&standortid=1&standortname=wien%20%28bundesland%29&suchbegriff=immobilienverwalter,HIGH,Current holding ownership publicly disclosed,yes
